OBJECTID,PROJECT_ID,FISCAL_YEAR,CONSTRUCTION_YEAR,CONCEPT_CODE,CONCEPT_DESCRIPTION,WORK_CONCEPT,SUB_PROGRAM_CODE,SUB_PROGRAM_DESCRIPTION,ROUTE_TYPE,ROUTE_NAME,ROUTE,COUNTY,TITLE,LIMITS,MILES,REGION,CONSTRUCTION_COST_RANGE_WD,LAST_REFRESH_DATE,WORK_DESCRIPTION,ASSEMBLY_DISTRICT_NUMBERS,CONGRESSIONAL_DISTRICT_NUMBERS,SENATE_DISTRICT_NUMBERS
200533,24101370,2023,2023,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONSTRUCT NO ADD'L LANES,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,MILWAUKEE                     ,W NATIONAL AVENUE,S 62ND STREET TO S 65TH STREET     ,0.185,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"W NATIONAL AVE, S 62ND ST TO S 65TH ST",7,5,3
200534,13302270,2025,2025 - 2026,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST / RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,083,WIS 083,WASHINGTON                    ,STH 83 - HARTFORD TO CHENEQUA,STH 167 TO MONROE AVENUE,3.91,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"STH 83, STH 167 TO MONROE, RESURFACING","22,59",5,"8,20"
200535,65801071,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,156,WIS 156,SHAWANO                       ,CLINTONVILLE - HOWARD,HERMAN CREEK CROSSING B-58-0019,0,NC,"$750,000 - $999,999",2021/07/24 08:34:36+00,Replace deficient existing bridge with a wider one at its present location.,6,8,2
200536,52800373,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,113,WIS 113,DANE                          ,MADISON - LODI,CTH P TO LODI CITY LIMITS,3.693,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,To Be Determined,42,"2,6",14
200537,92200472,2024,2024,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,117,WIS 117,SHAWANO                       ,BONDUEL - CECIL,EXPRESS WAY TO MUTZY LANE,1.11,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Resurface existing pavement.,6,8,2
200541,79980077,2023,2023,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAV'T REPLACE/PVRPLA,303,STATE HIGHWAY REHABILITATION                                               ,US,012,US 012,MONROE                        ,TOMAH - MAUSTON,VETERANS STREET INTERSECTION AREA,0.157,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Pavement Replacement.,70,3,24
200542,79940051,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONSTRUCTION/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,PIERCE                        ,"C RIVER FALLS, S WASSON LANE       ",830TH AVE TO E CASCADE AVE         ,0.71,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Replace existing deteriorated pavement and replace two existing culverts with a box culvert. Construct a roundabout at the S Wasson Lane/E Cascade Ave intersection.,30,3,10
200543,58200060,2024,2024,BRRHB ,BRIDGE REHABILITATION,CONST/CONCRETE OVERLAY/BRRHB,303,STATE HIGHWAY REHABILITATION                                               ,WIS,162,WIS 162,LA CROSSE                     ,COON VALLEY - BANGOR,DUTCH CREEK BRIDGE B-32-15,0.055,SW,"$750,000 - $999,999",2021/07/24 08:34:36+00,"Concrete Overlay, Bridge Rehab.",94,3,32
200544,49920060,2025,2025 - 2026,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,WINNEBAGO                     ,"C MENASHA, RACINE STREET           ",THIRD STREET TO NINTH STREET       ,0.74,NE,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"2020-2025 Local STP Urban Program, reconstruct of existing roadway.",57,6,19
200545,42910271,2022,2022,MISC  ,MISCELLANEOUS,CONSTRUCTION/NTPP,290,TRANSPORTATION ALTERNATIVES                                                ,LOC,STR,LOC STR,SHEBOYGAN                     ,"C SHEBOYGAN, INDIANA AVE",ESSLINGEN PARK TO SOUTH 24TH STREET,0.38,NE,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,,"27,26",6,9
200548,16103960,2022,2022,PSRS40,SHORT TERM OVERLAY (MILL AND OVERLAY),CONST/PREV MAINT APPRVL 6/6/2016,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,PRICE                         ,PARK FALLS - MELLEN,5TH ST NORTH TO ASHLAND COUNTY LINE,3.73,NC,"$750,000 - $999,999",2021/07/24 08:34:36+00,Remove top layer of pavement and apply a new surface.,74,7,25
200549,11660779,2022,2022,PVRPLA,PAVEMENT REPLACEMENT,CONSTR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,I-,039,I-039,WAUSHARA                      ,COLOMA - PLAINFIELD,"COTTONVILLE AVENUE TO CTH O, SB",7.42,NC,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,Mill and overlay this portion of roadway.,72,6,24
200550,27220970,2023,2023,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONST,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,WAUKESHA                      ,C NEW BERLIN S CALHOUN ROAD,INTERSECTION WITH SMALL ROAD,0.012,SE,"$250,000 - $499,999",2021/07/24 08:34:36+00,"S CALHOUN RD, INTERSECTION WITH SMALL ROAD",84,1,28
200555,56460076,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST OPS/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,GREEN                         ,"TOWN OF ADAMS, PRAIRIE VIEW RD     ","DOUGHERTY CREEK BRIDGE, B-23-0180",0.026,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Bridge Replacement Project.,80,2,27
